Requirement_Text,Final_Class
The development team will follow best practices for clean code and software modularity in order to make the application as maintainable as possible.,YES
Users will be able to access this application on or off campus anytime on their mobile device without the need of an internet connection.,YES
The system shall offer extensive customization for course and calendar details while maintaining a more static design for other functionalities.,NO
"The system shall function as a reusable semester-to-semester application for returning students, offering automatic class schedule updates and integration with the Radford University mobile app.",YES
The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.,YES
The overall accuracy of the Web API’s response will be measured using a developer-made testing set.,YES
The overall accuracy shall be calculated by dividing total number of correct answers by the number of questions asked.,YES
The accuracy of the Generic Question Construction​ part will be close to 80%.,NO
The accuracy of the Generic Answer Construction​ unit will be close to 70%.,NO
The accuracy of the Generic Answer Population​ unit will be close to 70%.,NO
"The average time for the server to respond, over the question testing set, will be less than or equal to 2 seconds.",YES
"The connection between the Web API and the programs will use HTTPS, for security.",YES
A new user will make less than 3 mistakes in 5 minutes after 5 minutes of use.,YES
The FAU class ensures security-relevant events are logged and identifies what information should be included in those logs.,YES
"The system shall be designed for high performance with optimized server queries, instantaneous screen transitions, and sub-second cost-division computation.",YES
"SplitPay will prioritize user safety by ensuring it doesn't interfere with other apps or data, and in the future, the application will warn users against using it when focus is critical.",YES
The system shall prioritize convenience over robust user authentication by relying solely on Google email verification in the future.,NO
"SplitPay's user interface will prioritize usability and clarity, featuring a visually-appealing design and leveraging informative notifications and pop-ups to guide users in the future.",YES
"The system will prioritize error-free expense splitting calculations while offering full app functionality offline, caching financial data until reconnected.",YES
"While a fast internet connection is optional, the system shall be designed to perform optimally with a fast connection.",NO
The system shall ensure compliance with Google Maps API terms of use by adhering to Google's policies.,YES
"User shall be able to access the Catalogue PDF, 360° videos, and contact a representative using the sub navigation icons.",YES
"Users are not able to safely operate the device under certain conditions, such as while driving.",NO
System shall be able to integrate with the internal system for user login and identification.,YES
System shall be able to maintain data security.,YES
System shall provide a data entry experience comparable to a desktop computer.,NO
System shall be designed for mobile portability with minimal storage requirements and efficient performance.,YES
"The system shall be able to support 10,000 concurrent users.",YES
System shall respond to user interactions within 2 seconds.,YES
System shall require authorization for project admins before they can access the admin interface to manage project sites.,YES
System shall implement standard web security measures.,YES
"System shall be designed for easy extensibility, maintainability, and potential release as an open-source application.",YES
System shall be deployable and operational in under one minute upon USB insertion.,NO
"The system shall be designed for extensibility, maintainability, and open-source release.",YES
Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute,NO
The system shall be able to handle 1000 customers logged in concurrently at the same time.,YES
The system shall be able to provide adequate response times for commonly performed functions under both standard and peak loads across all user interfaces of the application.,YES
The system shall perform searches returning results within 5-8 seconds (simple) and 10-15 seconds (advanced) regardless of data size.,YES
"The system shall be able to retrieve and display a recently accessed (within the last 2 months) case within 5-8 seconds, regardless of storage capacity or the number of cases in the system.",YES
The system shall be scalable to accommodate police stations of all sizes and caseloads.,YES
The system shall be able to support a multilingual interface.,YES
The user shall be able to access help content in both offline and online modes.,YES
The system shall be accessible to users both from within the application and through a web browser interface.,YES
The System must allow the user to limit access to cases to specified users or user groups.,YES
the system shall enforce role-based access control (RBAC) for its functionalities.,YES
The System must allow a user to be a member of more than one group.,YES
The System must allow only admin-users to set up user profiles and allocate users to groups.,NO
The System must allow a user to stipulate which other users or groups can access cases.,YES
"The System must allow changes to security attributes for groups or users (such as access rights, security level, privileges, password allocation and management) to be made only by super-user.",YES
System shall restrict search results to only records the user has access rights for (both quick and advanced searches).,YES
System shall log unauthorized access attempts to cases in the audit trail.,YES
"The system shall be able to create a complete audit trail for all case access, activities, and related documents or data.",YES
"All error messages produced by the System must be meaningful, so that they can be appropriately acted upon by the users who are likely to see them.",YES
"The System must employ a single set of user interface rules, or a small number of sets to provide a familiar and common look and feel for the application.",YES
"Ideally, each error message will be accompanied by explanatory text and an indication of the action(s) which the user can take in response to the error.",YES
"The System must be able to display several entities (cases, suspects) simultaneously.",NO
"The system shall allow users to customize interface elements (displayed columns, layout) and save these preferences in their profiles.",NO
The System must provide End User and Administrator functions which are easy to use and intuitive throughout.,YES
Frequently-executed System transactions must be designed so that they can be completed with a small number of interactions (e.g. mouse clicks).,YES
The system shall comply with Standard ISO 9241 for user interface design.,YES
The system shall provide textual descriptions or alternative functionalities for all non-text media like images and videos.,YES
"The system shall provide self-descriptive navigation, allowing users to understand their location, history, and future options within the application.",YES
The system shall be able to offer users alternative ways to navigate to the same content.,NO
The system shall minimize splash screens and only display them if they provide valuable information to the user.,NO
The system shall allow users to skip the splash screen if one is present.,NO
"The system shall minimize vertical scrolling by prioritizing top placement of important information and utilize links for less crucial details, and avoid horizontal scrolling altogether.",NO
The system shall minimize user errors and make error recovery effortless.,YES
"The user interface shall display clear error messages explaining the issue and suggesting solutions, all in the user's chosen language.",YES
"The system shall be able to handle user interfaces that accept and display information like currency, measurements, dates, and addresses in a way that is clear for users from various backgrounds.",YES
Users shall be able to resize text using built-in functions or appropriate methods.,NO
The system shall ensure that textual content is free of spelling and grammatical errors for clear readability.,YES
"The system shall present information on the screen in a user-friendly way using short sentences, clear sections, and bullet points for easy reading and understanding.",YES
The system shall ensure text readability considering display characteristics and follow ISO 9241-303 for screen text legibility.,YES
"System shall use clear and familiar labels for navigation links, considering users' general knowledge and experience with similar systems.",YES
The system shall be able to clearly mark links that open in new browser windows or pop-up windows.,YES
The System must be available to users on all weekdays/xxx days per year.,YES
The system shall have planned downtime not exceeding <xx> hours in a rolling three-month period.,YES
The system shall have unplanned downtime not exceeding a specified duration (to be determined) in a rolling three-month period.,YES
The system shall experience no more than <x> unplanned outages in a rolling three-month period.,YES
The System must provide adequate response times for commonly performed functions under both standard and peak conditions,YES
The application must be able to link up with the INTERNAL system in order for users to properly log in and be identified.,YES
The system shall be able to retrieve and display frequently accessed cases (within the last 2 months) within 5-8 seconds regardless of data volume.,NO
The system shall be scalable and accommodate police stations of all sizes with varying caseloads.,YES
Upon the USB being plugged in the system shall be able to be deployed and operational in less than 1 minute.,NO
The system shall be able to handle 1000 customers logged in concurrently at the same time.,NO
The system shall be able to retrieve 200 products per second.,NO
The system shall be able to add product to shopping cart in less than 2ms.,NO
The system shall be able to search for a specified product in less than 1 second.,NO
The system shall be able to email customer and vendor in less than 1 second.,NO
The system shall be able to validate credit card in less than 2 seconds.,NO
The system shall be able to acquire shipping charges in less than 2 seconds.,NO
The system shall be able to acquire shipping charges in less than 2 seconds.,NO
The system will do periodic backups through a live internet connection.,YES
The system shall validate credit cards against fraud.,YES
The system shall encrypt all sensitive information via https.,YES
The system shall encrypt all customer data in database.,YES
The system shall encrypt all customer data in database.,YES
The system shall detect consecutive failed login attempts,YES
The system shall be protected by open source firewall called Firestarter.,NO
The system shall have an availability of 99.99%.,YES
The system shall perform searches via Dijkstra's shortest path algorithm.,YES
"For returning customers, the system shall validate existing credit card in system after each log in.",YES
The system shall automatically compress image files that are too large in size.,YES
The system will employ on demand asynchronous loading for faster execution of pages.,YES
The system shall validate email address existence.,YES
The system shall be easy to use.,YES
The system shall be easy to learn.,YES
"The system shall utilize help bubbles to assist managers, customers, and administrators",NO
The system shall employ easy to locate buttons,YES
The system shall prompt customer with friend easy to read error messages.,YES
The system shall utilize consistent symbols and colors for clear notifications.,YES
The system shall be easily updatable for fixes and patches.,YES
"The system shall create logs of all changes, updates, or fixes that are done to the site.",YES
The system shall be easy to upgrade.,YES
The system shall be extremely portable via the usb drive.,NO
The system shall be easy to migrate or backed up via another usb drive.,NO
The system shall be able to run in debug mode.,YES
The system shall be able to process test credit card transactions.,NO
The system shall be able to process test shipping orders.,NO
The system shall be able to create a test environment for the web order system.,NO
The system hardware shall be able to receive fixes and patches over an internet connection.,YES
Yoggie shall coordinate on future enhancement and features with our organization.,YES
The user shall be able to learn and master the system within 2 to 4 hours.,YES
The system shall be highly available during working hours with all maintenance and backup activities occurring outside of these times.,YES
"The system shall be a web application deployable on Microsoft or Unix platforms and accessible through browsers like IE, Firefox, Chrome, Opera, or Safari.",YES
Users shall authenticate using a username and password.,YES
Users shall be able to access functionalities based on their assigned roles.,NO
System shall restrict local access and maintenance of database servers to authorized IT team members only.,YES
The system shall enforce a time limit on queries to prevent them from exceeding one minute in execution time.,YES
The system shall be able to perform periodic backups.,YES
The system shall be designed to facilitate future evolution and maintenance operations.,YES
The user shall be able to play or learn about Mahjong.,NO
"The system shall be usable by users with basic PC, Macintosh, or Unix operating system knowledge.",YES
User shall be able to play multiplayer Mahjong without requiring advanced knowledge of TCP/IP networking.,NO
User shall be able to play Mahjong with no prior knowledge of the rules.,NO
The user shall be familiar with a Web Server environment.,NO
The user shall be able to configure and operate a TCP/IP server.,NO
The user shall be able to understand basic networking concepts and access the hostname and IP address of the server running the MultiMahjongServer program.,YES
The system shall be able to display a dialogue box explaining the nature of the error for non-fatal errors.,YES
The system shall be able to allow continued gameplay upon encountering a non-fatal error.,YES
The system shall be able to ensure a response time of 1 minute or less for Commanding Officer (CO) actions in both single and multiplayer modes.,NO
The system shall be able to support concurrent multiplayer Mahjong games for up to 10 tables with a maximum of 40 players.,NO
The system shall be able to calculate possible Chow/Pung/Kong/Mahjong moves within 5 seconds of receiving the latest discard information.,NO
The system shall be able to exchange data with the MultiMahjongServer without encryption as the data is considered non-sensitive and poses no risk to system integrity.,NO
The MultiMahjongServer will have no graphical user interface and will be run using a command prompt.,NO
The MultiMahjongServer will have a graphical user interface with which the administrator of the server can get log information and change game settings.,YES
The MultiMahjongClient will have a graphical user interface that the user will be able to interact with using a mouse and a keyboard.,YES
The MultiMahjongClient will have sound effects associated with the game actions.,NO
The system shall be able to display its graphical user interface (GUI) within an 800 x 600 pixel resolution.,NO
All graphics will be in 16 bit colour.,NO
"An administrators manual, explaining how to install and operate the MultiMahjongServer, will be provided.",YES
"A users manual, explaining how to install and operate the MultiMahjongClient, will be provided.",YES
"This documentation will be available in electronic files, and, with the exception of source code, in hard copy format.",YES
"As an objective, the TCS shall support an automatic launch and recovery system.",YES
"As and objective, the TCS shall be interoperable with the Integrity Beacon Landing System (IBLS)",YES
"TCS shall provide the capability to monitor specific telemetry elements real-time, and record all telemetry elements for future review and processing.",YES
The TCS shall be capable of being interoperable with the installed payloads across the 5 levels of UAV interaction.,YES
The TCS shall provide the necessary system capabilities required for payload control beyond line of sight via uplink command of two air vehicles of the same type using sequential communication techniques.,YES
"The TCS shall receive, process, and present payload data to the operator so that the status of the payload can be determined.",YES
The TCS shall permit the operator to control the payload using all methods supported by the payload installed in the selected AV,YES
The system shall deliver data from its originator to its destination with an acceptable residual error rate to ensure non-corruption of transferred data.,YES
"The system shall encrypt data items to prevent unauthorized access, tampering, and eavesdropping.",YES
"The system shall be able to retransmit, reconstruct, or reprocess data to ensure its reliability in case of loss or inaccessibility.",YES
The APAF ground data system shall have built-in error handling.,YES
The APAF system web server shall be password protected where appropriate to allow only pertinent ASPERA-3 team members access.,YES
There shall be a UNIX-based APAF system development computer.,YES
There shall be a UNIX-based APAF system production computer with an archival system.,YES
There shall be a web server for the APAF system,YES
There shall be a network connection between SwRI and NISN.,NO
SwRI shall provide APAF system maintenance.,YES
SwRI shall provide software support for the APAF system.,YES
Science analysis software shall be integrated into the NASA approved data repository.,YES
ASPERA-3 data shall be provided to NASA PDS no later than 6 months after acquisition.,NO
"Program will have a simple, graphically appealing interface designed for sixth graders.",NO
Software will run on most computers since it only requires Macromedia Flash and HTML.,YES
"The system shall utilize a web browser compatible with the Flash plug-in (requirements in ""Playback"" section).",NO
The product will be as secure as the web browser that will run the product.,NO
The product will be available over the Internet via the S2S website.,NO
"Reliability will be ensured by extensive testing by the team members and mentors, if available.",YES
"The system shall be maintainable through modular code structure, allowing for easy future modifications by separating functionalities into subscenes within the main Flash game.",YES
"The BE shall be able to handle lag sets up to a maximum size of 262,144 values",NO
"The system shall be able to monitor the overall data processing rate, compare it to tolerances, and report any deviations from those tolerances.",YES
"The BE shall trap, flag and repair infs, NaNs, underflows, overflows and other computation errors.",YES
The BE shall periodically or upon request check PIDs and assure that all started tasks are alive and running.,YES
The BE shall periodically or upon request check Backend physical processors and assure that all needed processors are alive and responding,YES
The BE shall periodically or upon request check all Backend internal networks and assure that all communication connections are intact and functioning,YES
"The system shall be able to fully reconstruct the raw, original input data from the processed output.",NO
"The Backend System shall ensure input data fidelity and dynamic range integrity across all processing, manipulation, and I/O functions.",YES
The system shall be capable of flagging and marking corrupted data segments and proceeding without interruption or effect on other data.,YES
The BE System shall be capable of accepting an aggregate data input stream from the Correlator of a minimum of 1.6 Gbytes/sec.,NO
The BE System shall be capable of delivering an output data stream to the e2e System of a minimum of 25 MBytes/sec,NO
The total processor capability of the BE System shall be sufficient to accomplish all processing tasks while avoiding loss or delay on the input and output data streams.,YES
The BE System shall have sufficient (amount TBD) memory with sufficient (rate TBD) access speeds to accomplish all processing tasks while avoiding loss or delay on the input and output data streams,YES
"All math/science application software shall take optimal advantage of all language, compiler, and system computational features and resources to reduce run times to the minimum practical level.",YES
"All management software functions shall take optimal advantage of all language, compiler and system features and resources to reduce overheads to the minimum practical level.",YES
"All input and output, and storage and retrieval operations shall take optimal advantage of all system resources to reduce overhead and latency to the minimal practical level.",YES
All data processing functions shall be chainable (outputs pipeable to inputs) and repeatable in the processing pipeline in cases where this makes computational sense.,YES
"The system shall use industry-standard, commonly available, and widely used operating system, message passing middleware, and programming languages.",NO
"The system shall be able to self-monitor and automatically take actions to address various issues including hardware failures, software crashes, performance degradation, errors, and communication disruptions.",YES
The software part of the system shall be able to perform without total system restart due to internal failure between array maintenance windows.,NO
"The hardware part of the system shall be able to perform indefinitely without complete loss of service, except in the event of total failure of primary and backup power.",YES
The system shall be capable of responding in a loss-less manner to I/O and processing changes arising from Correlator mode changes.,YES
The system shall continue to operate in a loss-less manner in the event of a temporary (time duration TBD) loss of availability of the e2e System.,NO
"The system shall be able to complete processing of all onboard data, deliver the results to the End-to-End System and maintain availability for immediate resumption of operations once Correlator access is restored.",YES
"All system processing and interconnect hardware shall be readily accessible for maintenance, repair, replacement and/or reconfiguration",YES
All systems and application source code shall be available to or on the systems that execute it.,NO
Software tools and pre-built applications that do not have source code available shall come with a complete diagnostic package and customer support.,YES
Operating system software shall either have source code available or come with sufficient diagnostics and customer support.,YES
"I/O, communications, and processing hardware shall be easily expandable, reconfigureable, augmentable and replaceable to meet increasing data transfer and processing demands imposed by EVLA science, Correlator changes, and availability of new hardware.",YES
"Above, shall be accomplished in manner that is transparent to processing, communications and I/O software functions with the possible exception of recompilation of executables.",YES
The system shall be able to operate seamlessly at its interfaces with hardware modules and software functionality.,YES
The Backend system shall ultimately be scaleable to an extent that it will be capable of handling up to two Gbytes per second per Correlator output channel in real-time.,NO
All users of the system shall login using some form of unique identification.,NO
A system administrator shall have unrestricted access to all aspects of the system.,NO
Each user shall have a set of system access properties that defines the user's privileges within the system.,NO
The administrator shall have the ability to create and add a new user to the system.,NO
The administrator shall have the ability to remove a user from the system.,NO
The administrator shall have the ability to edit a user's system access properties.,NO
The administrator shall have the ability to block all access to the system for all users or selectively by user.,NO
The system shall be able to handle non-real-time operations in a transparent fashion.,YES
Modular design principles shall be employed to the maximum extent possible,YES
Complete and comprehensible hardware systems specifications and configuration information shall be readily available,YES
Software system and application code shall be well documented and written in a generally familiar language or languages (preferably not more than two).,YES
"Wherever applicable, all computers and peripherals shall be powered though UPS type devices with sufficient capacity for the computers to safely coordinate a system wide shutdown of the correlator hardware in the event of a prolonged power outage",YES
All computers within the CMCS system shall have the ability for authorized users to directly access individual systems for maintenance and monitoring through remote logins.,YES
Each computer system in the CMCS shall have a hardware based watchdog timer configured to reboot the system in the case of a system hang.,YES
The CMIB shall conform to both electrical and physical PC104+ standards,NO
"The CMIB shall be able to function as a real-time computer with at least 64MB of RAM, storage, various ports, and network connectivity.",NO
"The system shall support real-time correlator operations, hardware monitoring/control, and PLD/FPGA personality updates over the network.",YES
"The MCCC shall be a high availability type generalpurpose computer capable of supporting multiple Ethernet interfaces, COTS operating systems, and support server/host services for the CMIB operating system.",YES
The MCCC shall have all required disk and file system facilities installed locally such that the system can boot and run in a stand-alone configuration.,NO
"The CPCC shall be able to function as a high availability computer for real-time correlator operations, hardware monitoring/control, and remote PLD/FPGA updates.",YES
The CPCC shall have all required disk and file system facilities installed locally such that the system can boot and run in a stand-alone configuration.,YES
"The CMCS processors shall be capable of responding to correlator hardware inputs (interrupts) in a deterministic fashion with sufficient performance to avoid data loss, corruption or overflows.",YES
"The system shall function as a high availability computer for real-time tasks including correlation, hardware management, and remote updates.",YES
"All system error and debug messages shall be categorized in a logical fashion such that message traffic can be filtered as to content, detail, and message rate.",YES
All messages passed between CMCS system layers shall have both UTC and wall clock time stamp information appropriate for the message type.,NO
"Software shall be provided that allows an authorized user full access to all messaging, monitor, and control traffic throughout the CMCS.",YES
The BE shall verify the successful receipt of incoming data from the Correlator.,YES
"The CMCS shall autonomously monitor and respond to hardware issues, software crashes, resource limitations, errors, and communication failures.",YES
The software part of the system shall be able to perform without total system restart due to internal failure between system maintenance windows.,YES
"The hardware part of the system shall be able to perform indefinitely without complete loss of service, except in the event of total failure of primary and backup power.",NO
The system shall be able to continue processing of all correlator configuration/control events until the queues of parameters are exhausted and external communications are restored,NO
The system shall be able to sit at idle and resume operations with minimal (amount TBD) delay.,YES
"All system processing and interconnect hardware shall be readily accessible for maintenance, repair, replacement and/or reconfiguration.",YES
All systems and application source code shall be available to or on the systems that execute it.,NO
All software modules shall be designed for easy debugging by allowing simulation of inputs and outputs.,YES
"All software processes shall be killable, restartable, debuggable and testable with minimal impact on normal system operations.",YES
Software tools and pre-built applications that do not have source code available shall come with a complete diagnostic package and customer support.,YES
Operating System software shall either have source code available or come with sufficient diagnostics and customer support.,YES
"I/O, communications, and processing hardware shall be easily expandable, reconfigurable, augmentable and replaceable to meet increasing data traffic and processing demands imposed by EVLA science, Correlator changes, and availability of new hardware.",NO
"Transparency shall be accomplished in manner that is transparent to processing, communications and I/O software functions with the possible exception of recompilation of executables.",YES
"Seamlessness shall be accomplished in a manner that is seamless, in that it does not affect hardware modules or software functionality that it meets at interfaces.",YES
"All users of the system shall login using some form of unique identification. (e.g., username and password)",YES
A system administrator shall have unrestricted access to all aspects of the system.,NO
Each user shall have a set of system access properties that defines the users privileges within the system.,NO
The administrator shall have the ability to create and add a new user to the system.,NO
The administrator shall have the ability to remove a user from the system.,NO
The administrator shall have the ability to edit a users system access properties.,NO
The administrator shall have the ability to block all access to the system for all users or selectively by user.,NO
The system shall utilize a modular design with hot-swappable components for maximum repairability and uptime.,YES
The system shall provide complete and understandable hardware specifications and configuration details.,YES
Software Coding Practices software system and application code shall be well documented and written in a generally familiar language or languages.,YES
The system shall support secure communication through message encryption and decryption techniques.,YES
"The system shall use a best-effort multicast/broadcast approach, where delivery of packets to all specified agents is not guaranteed.",YES
The system shall encrypt messages but cannot guarantee confidentiality due to potential decryption by unauthorized parties.,YES
"The system shall support multicast protocols for sending multicast messages, requiring compatible routers, network cards, and operating systems.",YES
The system shall restrict broadcast message transmission to authorized administrators only.,NO
The automated diagnostic tool shall detect and identify certain performance and operational faults in chiller and cooling tower subsystems of HVAC units following specified algorithms.,YES
The tool shall be designed to permit the addition of diagnostic algorithms for other subsystems of HVAC units.,YES
Any and all errors associated with failures of the diagnostic algorithms shall be logged as described in subsequent specifications and selected errors shall be reported to the user.,YES
The system shall be highly automatic to relieve the users of as many repetitive and tedious tasks as possible.,YES
The system shall guide users through an interface based on end user concepts.,NO
The system shall be easy to learn and does not obstruct the thematic understanding of the users.,YES
The system shall make it easy to correct mistakes.,NO
"The system shall function reliably, with few or no interruptions in its first operational year and fewer still thereafter.",NO
The system shall give stable and reproducible results.,YES
There will be no restriction in time or place for the use of the software built from the specifications produced under this contract.,NO
The system shall be able to establish and keep the dialog with the Members systems despite the various technical environments and technologies used on their sites,NO
The system will be designed so that background tasks can continue while the user performs foreground tasks.,YES
The system shall deliver rapid responses to user requests under 24/7 operation for both internal and enforcement authority use (acceptable response time < 1 minute).,YES
The system will be designed in such a way that the algorithms for the four main units will be able to be easily swapped out.,YES
The overall accuracy of the Web API's response will be measured using a developer-made testing set.,YES
The overall accuracy will be calculated by dividing the total number of correct answers by the number of questions asked.,NO
"Drexel staff's office locations, contact information, and positions will have accuracy greater than 70%.",NO
"On-campus dining locations, hours, food types, etc. will have accuracy greater than 50%.",NO
"Official events listed on Drexel website, location and hours will have accuracy greater than 40%.",NO
The average time for the server to respond will be less than or equal to 2 seconds.,NO
"The connection between the Web API and the programs will use HTTPS, for security.",YES
A new user will make less than 3 mistakes in 5 minutes after 5 minutes of use.,NO
The system shall refresh the display every 60 seconds.,NO
The application shall match the color of the schema set forth by Department of Homeland Security.,YES
The system shall ensure that projected Event/Activity data is readable by 90% of viewers on a 10x10 projection screen from a 30-foot viewing distance.,NO
"The system shall achieve 99% availability during the first six months of operation, excluding non-business hours.",YES
The system shall present projected data on a 10x10 screen such that 90% of viewers at 100 feet can identify ongoing Events or Activities.,NO
The product shall implement access control to distinguish between authorized and unauthorized users in all access attempts.,YES
The system shall be intuitive enough for 90% of new users to start displaying Events or Activities within 90 minutes of initial use.,YES
The product shall respond fast to keep up-to-date data in the display.,YES
The look and feel of the system shall conform to the user interface standards of the smart device.,YES
The user interface shall have standard menus buttons for navigation.,YES
The system shall have a professional appearance.,NO
The product shall have a consistent color scheme and fonts.,NO
The system shall be used by realtors with no training.,NO
The system shall be intuitive and self explanatory.,YES
The product shall be easy for a realtor to learn.,YES
The product shall use symbols and words that are naturally understandable by the realtor community.,YES
The product shall produce search results in an acceptable time.,YES
The search results shall be returned no later 30 seconds after the user has entered the search criteria.,NO
The product shall generate a CMA report in an acceptable time.,NO
The CMA report shall be returned no later 60 seconds after the user has entered the CMA report criteria.,NO
The product shall synchronize contacts and appointments in an acceptable time.,YES
The product shall synchronize with the office system every hour.,YES
The product shall be available for use 24 hours per day 365 days per year.,YES
"The system will achieve a future uptime of 99.9%, meaning it will be available for 999 out of every 1,000 access attempts.",YES
The product shall operate in offline mode whenever internet connection is unavailable.,YES
The product shall allow the user to view previously downloaded search results CMA reports and appointments.,NO
The product shall retain user preferences in the event of a failure.,YES
100% of saved user preferences shall be restored when system comes back online.,YES
