tweet_stemmed;target_new
indonesia terima vaksin covid juta dosis httpstcognugcvwy syariahsumberkeberkahan  httpstcovgbklnr;1
alhamdulillah hr sdh tuntas vaksin ii mudahmudahan pandemi cepat jaga protokol seh  httpstcoyfpfazvk;1
antisipasi sakit rabies dinas tani pangan banyuwangi gelar vaksin gratis hewan pelihara httpstcoyehoecft;1
nomer sgini klu bwt vaksin msh pede tp klu antri bank no aja udah ketarir usir suruh lg bsk atw msh bs angkut hr jg ;1
harihari hectic buka twitter  alhamdulillah sah vaksin ;1
perintah tambah sedia vaksin covid datang tahap dosis httpstcozrytfci;1
btw gue males banget vaksin banget dri rumah;0
habis vaksinpuyeng;0
cybsquad drkoko yg sobat ku tinggal vaksin demam trs hr brkt y wassalam k akhirat ;0
vaksin ajar magelang ayo vaksin sma n kota mungkid kabmagelang september  httpstcowzthhumz;1
citrafazania ayo vaksin patuh prokes sukseskanvaksinasijawatengah indonesiasehatindonesiahebat;1
kaga lahh anjirr kapo udah vaksin tu kebal sakit gua serius nih udah nggak sakit semenjak vaksin cuman pusing doang demam panas doang badan nggak reaksi;1
ayo vaksin   jaga tubuh mudah jangkit covid httpstcoyutrgjp;1
pleaseeee jeles bodo abang i hangout ngan kawan dahla vaksin agi mak i kasi jeeee uewhsgve how to be my abang;0
vaksin covid manfaat lindung tubuh jatuh sakit akibat covid timbul kebal spesifik tubuh percepatkekebalankomunal capai herd immunity;1
vaksin wkwk;1
sesuk vaksin otw dadi titan mlayu mlayu rak katok;1
efek ngantuk doang sihh moga aja gak demam kayak vaksin dokter gak kenapanapa lagi udah vaksin keduaa mangats yaaa sammy pokok lupa makan minum aja papernya bidang sospol;1
manfaat vaksin covid salah satu cegah virus corona sebar mungkin mutasi kebal vaksin percepatkekebalankomunal capai herd immunity;1
pas gilir suntik vaksin nya habis;0
ffoodfess orang vaksin dapet sembako vaksin aja susah banget boro dapet sembako ;0
esok vaksin hehhehhehe;1
ayo vaksin wilayah desa karanganyar borobudur kamis september gratis  httpstcobtfp;1
dah vaksin lindung vaksin lindungdirilindungsemua rapidkl rapidbus;1
uwooniee alhamdulillah baikk huhu abis vaksin hbu;1
vaksinasi lho jamin aman penyelengaraan giat laksana protokol sehat yuk vaksin segera vaksin ya vaksinasi vaksinasicovid worldsuperbike airlanggatunjukankinerja airlanggahartarto menkoperekonomian lombok;1
iyaiyeo vaksin gak sakit pas vaksin tetep aja badan anget gel tipis  ;1
hoyezon ayo vaksin sayang nggak vaksin nggak sakit  sehat lu nggak dokter;1
qwiselle masyarakat nya ganjarpranowo keren banget antuasias pd vaksin;1
groboganpolres vaksin dosis sertifikat mohon bantuanya vaksin polres grobogan;1
kesetrump emang sagapung ae kali gara vaksin ilang kontrol;0
kes turun sikit dr malam kes perak pulak haihh perak nak ok ni kes tk byk tk cecah digit dah la negeri slow vaksin;0
khairykj jkjavmy msh kwn sy vaksin yb tp ngaku anti vaksin acaner tu serba salah mmg jumpa diorg lg;0
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcoqxvzdgbla;1
akhrinya dapet vaksin;1
sitinismail well done     sedih tengok berita yg sanda ramai hadir vaksin ppv yg kosong tiada orang pigi hmm;0
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcocnobekyp;1
ribu anak usia sekolah dasar infeksi covid sekolah tatap muka itagi spesifik kaji beri vaksin corona anak;0
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcomtpwevjol;1
bingung golek vaksin eh wes golekno tinggal muleh goro vaksine sinovac dudu fizer angel ngene iki;0
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcomlybcdkbs;1
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcobprfwznvy;1
habis vaksin dosis   alhamdulillah;1
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcohmpbwlbpb;1
kemaren hbs vaksin sinovac yg trs maksa backday asli bener letoy bgt  ;0
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcowluhsiby;1
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcowkasvvhm;1
hy ku udah vaksin k;1
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcohnxtnoenc;1
kalo tl tolong info vaksin daerah purwokertobumiayu dosis ;0
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcorgesgqcxe;1
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcownhavjrvd;1
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcowcnblaowv;1
dosis vaksin janssen proteksi persen cegah tular gejala tempotekno;1
alhamdulillah yg gilir vaksinasi door to door masyarakat jawa warga cilacap tanggung magelang ayo vaksin sukseskanvaksinasijawatengah indonesiasehatindonesiahebat;1
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcoxjyrizgq;1
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcojczfupwx;1
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcomkhhzchy;1
coba jelasin gue yg unga gamau vaksin garagara orang gue mall aja kudu vaksin ogeb aneh banget lu;0
in syaa allah besok vaksin takut ;0
mari patuh protokol sehat vaksin hindar bahaya sebar covid  httpstcobzdeyyvi;1
orang taknak vaksin vaksin taknak;0
anj gue bela  in ga vaksin bareng ortu biar bareng nemenin vaksin eh gampang barusan  httpstcofepumopu;0
bertanyarl aja nder vaksin sehat gausah takut pas jarum nya masuk mah ya cenat cenut sih;1
tmn ku sdh d vaksin demam ampe tinggal eh cm d vonis kena tipes pdhl umur g kena tipes ;0
anak kuliah mayoritas udh vaksin tp msih pjj anak sd nb msih bocah blm bs vaksin bs ptm eh kena copid cie elah;0
vaksin covid manfaat lindung tubuh jatuh sakit akibat covid timbul kebal spesifik tubuh percepatkekebalankomunal capai herd immunity;1
tp gapopo telat nder kae sg kudune tgl sekian kudu undur mergo ndak enek vaksin dadi nunggu sek jere mbak puskesmas gapopo lek wes enek ojo lali langsung vaksin yo;1
fplucu sbentar lg pipis kartu vaksin   ;0
manfaat vaksin covid salah satu cegah virus corona sebar mungkin mutasi kebal vaksin percepatkekebalankomunal capai herd immunity;1
benk suruh ttd surat paksa vaksin;0
gerak cepat dinkes sidoarjo suntik ribu vaksin pfizer httpstcomplounde radar sidoarjo;1
vaksin sakit yes;0
sahilahisyam ayo vaksin sukseskanvaksinasijawatengah indonesiasehatindonesiahebat;1
nanaadddd udah nad vaksin mall pondok kelapa town square;1
khairykj how about family yg vaksin mcm nak avoid ;0
nstyy yeayyyy vaksin tahap;1
kecam distribusi vaksin pbb diskriminasi vulgar beda negara kaya miskin httpstcodhsyuogo;0
skrg yg dewasa sdh yg sdh vaksin msh takut merka dri gak pede dgn efektifitas vaksin yg skrg;0
barusan telfon boss suruh vaksin booster moderna darimana usaha just info vaksin nakes bingung ambil ngga hati nurani ken ngasih yg vaksin sisi ken ikhtiar jg;1
yuk vaksin yuks utk selamat org vaksin door to door kamis sep lokdskaranganyark  httpstcoxtdvkma;1
alhamdulillah esok vaksin;1
elshaka yeee warga jawa gilir vaksin;1
abangsetan areajulid ngga gw ken cepat ngga covid biar ngga pake masker mall ngga v  httpstcokktsspot;1
hi kemarin hasil vaksin vaksin udah daftar status sistem vaksin ttp vaksin;1
baik tidur panggil yg pengang bangun pi cuk vaksin sorry ya pakcik makcik atok nenek;0
muazshukri zlhlmi percaya timbang takpa percaya vaksin;1
vitamenzhe ihh asik dah vaksin belumm jgn lupa istirahat my luvv minum air putih wenjeu syg;1
ilmuwan temu vaksin pfizer ubah luas sistem kebal tubuh parah konsekuensi jangka panjang httpinvestigasiorg;1
yuk vaksin yuks utk selamat org vaksin door to door kamis sep lokdskaranganyark  httpstcohpaicg;1
tmi gue abis vaksin uyeeyeueyey im fully vaccinated;1
antusias santri dapat vaksin covid httpstcogmoftpupx;1
anti vaksin vaksin kebal covid vaksin mnyebabkan kebal covid bahagia vaksin turun risiko sakit berat akibat covid shg aktivitas;1
hijab ayo warga jawa vaksin yok;1
vaksin anak kuliah masuk sekolah anak paud bukanmaen;0
bismabara gojekmilitan pakaipeci lfthada pake vaksin klo china wkwk;0
wehhhh    puji tuhan vaksin d d httpstcoxxjjzkesg;0
dis kabar;1
vaksin status pedulilindungi kuning masuk bioskop rumah aja ya;0
fess vaksin salah kampus negri kota ku trnyata presiden trs sembako jg utk serta vaksin alhamdulillah rejeki ya;1
 benernya vaksin sih min  lengkap yuk simak creativemultipost  httpstcovhirxkdex;0
sakit eh baca kt fb berita yg kait pasal vaksin nak lempang;0
abis vaksin puyeng kaku;1
selamat siang kak jalan ka lokal pandanwangi wajib aplikasi peduli lindung data vaksin minimal dosis;1
periodhabis vaksin;1
vaksin;1
vaksin sabtu sampe skrg rabu aja demam turun ;0
vaksin covid bantu selamat nyawa vaksin henti pandemi p  httpstcocwvuiudeo;1
temporaryppl bertanyarl ya gak gitu udah vaksin hindar covid prokes tetep jaga;1
jelas ka upt puskesmas sicanang kait edar isu warga tolak vaksin httpstcomtkadnyhuz;0
vaksin efek mantaps yaa vaksin gel jam dah langsung pusing;1
ya allah besok vaksin ;0
habis vaksin asa kena covid hade;0
vaksinasi covid salah upaya efektif capai kebal kelompok herd immunity  benernya vaksin sih min  biasakanyangtidakbiasa;1
klsxxlya abis vaksin kak kaiiii;1
yeay vaksin;1
bisa presiden ga vaksin alas w uda antibodi habis kena covid taun hadehhh;0
manfaat vaksin covid salah satu cegah virus corona sebar mungkin mutasi kebal vaksin percepatkekebalankomunal capai herd immunity;1
cucuk vaksin nak record;0
rasa vaksin ngantuk laper laper laper ;1
manfaat vaksin covid salah satu cegah virus corona sebar mungkin mutasi kebal vaksin percepatkekebalankomunal capai herd immunity;1
kemenkesri klo sertifikat vaksin lapor mana ya tolong udh bulan ni;0
alhamdulillah  hunting vaksin az gk sampe jam udah dapet  rezeki orang sholeh mana ;1
bagasathaya yuk vaksin takut;1
nak bawak san jugak vaksin    ;0
pgn copot tangan kiri abis vaksin;0
hbis vaksin gel banget ya;0
vaksin ditemenin ayang lino;1
fromelza vaksin november  km;1
intanayuarimbi mari vaksin mari kalah pandemi sukseskanvaksinasijawatengah indonesiasehatindonesiahebat;1
besok vaksin;1
vaksinasi door to door tanggung magelang jawa alhamdulillah masyarakat antusias yuk vaksin sukseskanvaksinasijawatengah indonesiasehatindonesiahebat;1
kalo ruang gerak sempit bijak ngawur warga ogah vaksin pilih pergi mana;0
moderna vaksin efek nikmat;0
prajurjt kalo vaksin aja ngilu dikit vaksin alyn demam bbrp;0
prajurjt lengkap sampe kali biar vaksin nya fungsi sempurna;1
alhamdulilah vaksin nih bos ;1
nahan ngantuk abis vaksin langsung zoom sks ;0
lurah jan ora masyarakate edukasi vaksin langsung skak ster    httpstcostyeuerbl;0
timpalbali daerah o blum sempet donor dri wktu ni udh vaksin lengkap;1
ttp nggenjreng hbs vaksin ;1
vaksin sertamerta kebal upaya tempuh ringan dampak covid adek media roza katawargatentangpengalamanvaksinasi kawalcovid katadatacoid;1
sumpah gw ken banget cirle setan ngurusin vaksin ni cape kampret;0
wooboobies pas vaksin nggk rasa  ya  ;1
vaksin gagal;0
sertifikat vaksin blm nelpon email dm peduli lindung ga respon yg bantu ga bro tugas peduli lindung lupa angkat telpon kyknya cc plindungi;0
cinta vaksin;1
rewards provide the name of those yg unvaccinated family sy ramai je nak vaksin left group wasep yg vaccinated ni vaksin;0
bikin skck aja kudu vaksin httpstcoawfgmoj;0
covid bahaya lansia yg komorbid kp skrg anak yg gak komorbid sehat bilang bahaya vaksin cegah tular turun resiko parah katnya mana;0
diarfahrezaa ngadagoan vaksin pfizer urg mah;1
mvrkleee tk you i tk dpt vaksin ;0
putrivio indahjegeg lengah disiplin prokes m vaksin yuk jokowi kendali pande  httpstcoytlujbjadq;1
girlpeacy gua gjd vaksin wkwk;0
vaksin kali;1
alhamdulillah yg gilir vaksinasi door to door masyarakat jawa warga cilacap tanggung magelang ayo vaksin sukseskanvaksinasijawatengah indonesiasehatindonesiahebat;1
lumineocity lu vaksin biar dpt sertif wkw;0
tolong ambil tindak guru enggan vaksin guru sekolah adik cakap mcm dkt adik adik nak vaksin harini guru patut galak anak murid ambil vaksin cakap mcm ;1
aelinstdy gua gjd vaksin;0
warga tau kipi kasih vaksin gratispu ogah vaksin razia paksa vaksin covid aja minim;0
sekretariatumum ayo laksana vaksin capai nya herd immunity;1
tidur deh lemes bngt w habis vaksin;1
wujud dukung usaha perintah utk cepat herd imunity dgn ikut vaksin henti sebar covid sukseskanvaksinasijawatengah indonesiasehatindonesiahebat;1
vaksin mahasiswa sekolah anak sd badotttttttt wkwkkkwkwk;0
gue abis vaksin tidur mulu buset emak dah ngomel nyuruh makan siang;1
rumahjisung gua gjd vaksin;0
mendaglutfi bener aja atur masuk mall pcrantigen nasib komorbid dokter injin vaksin sintas covid blm vaksin iya masuk mall hrs pcrantigen tolong atur ubah;0
vstfile gua gjd vaksin wkwk;0
ssssakty iya tidur pas jam istirahat vaksin sih oke gapapa sumpah dah nanang ismail;0
ngantuk tu cucuk vaksin;1
alhamdulillah vaksin kemarin gada efek sakit gel aja tangan ;1
chizukawaa convomf flooouurrrr apakabarr abis vaksin lngsung beli es boba   ;1
kayoemanis indahjegeg yesberhasil taat prokes m vaksin jokowi kendali pandemi  httpstcomijoeksao;1
hi kemkominfo medsos plindungi sdh aktif sy cb kontak tp spt nya tdk buka dg  httpstcomvqxltjfp;0
aaaaa besok vaksin;1
namdhoseidon wkwkw gue jg vaksin biar ngegym   parnoan anak;1
iyaiyeo iyaaa kalo izin vaksin mah suruh kerja coba aja ngabisin jatah cuti itu hak;1
gue kelar vaksin;1
naaca tasya taat prokes m vaksin jokowi kendali pandemi jokowimampukendalikanpandemi;1
perintah gerak cepat program vaksinasi vaksin nasional alhmadulilah masyarakat sambut langkah sukseskanvaksinasijawatengah indonesiasehatindonesiahebat;1
yaa allah kalo abis vaksin hawa ngantuk badan kaga enak   httpstcowtkrnzn;1
polres sumenep langsung vaksinasi kasubbag humas vaksin datang rumah httpstcovqbvlnpo;1
asrornews nadhifa msaiddidu anti vaksin antri vaksin duluan  ;0
bahagia ku sederhana senin vaksin ngecek peduli lindung sertif onlinenya dah neng banget   shangchi momma  s coming ;1
ngeri banget bijak perintah ya tahap vaksin hati loh anak cenderung otg gak tau papar;0
hdrymoonxd ngga ak vaksin kaya ga vaksin grgr gada;1
bluishto vaksin satu ga rasa kyaknya oke oke aja vaksin ;1
jam nungguin vaksin bangett;0
mohon bantu hapus data serta vaksinasi gotong royong ikut vaksin perintah dll ;1
stlh vaksin sy rasa kesal yg sgt patah kepala orang;0
ekadutajaladri program vaksinasi dekat yg vaksin jokowimampukendalikanpandemi;1
terap standar nasional diskriminasi beri vaksin ketidakpuasan sifat instrumental adek media roza katawargatentangpengalamanvaksinasi kawalcovid katadatacoid;0
ni mood laut ye hahaha dah kena scam alergik hilang kejap pastu pastu harini vaksin lenguh tangan pening nak keje pon penat sangattt;0
azeejkt abis vaksin wehehe;1
nemenin ayang vaksin bareng biar dufan ceunah ;1
aman vaksin dosis lengkap;1
pg lancar gold bar edisi vaksin dapat gold bar esok pg gold museum jam  httpstcoqjxgdyx;1
ceritangegrab kali abis vaksin laper ye efek abis ngantrilamapanas laper  httpstcohdaqoetk;1
eajjey ooh gitu vaksin sm beda tmpt;1
malam sakit kepala lepas vaksin ni;0
marlinaidha terimakasih jokowiuntuk vaksin ppkm nyawalaupun membulitapi hasil nyata ;1
gak heran lbp bangun pabrik vaksin thn sekian vaksin sedia apotik trz beli gmn makenya minum jgn smp enjuskan kek cok pardede wkwkkkk asw;0
ga warga yg vaksin paksa paksa ngeri yg hindar polres polsek bandara;0
vaksin nya esok effect nya ;0
maximilantjr aja antri vaksin nyelonong antri kek sih;0
bangun kamar bengong kasur tbtb mama masuk bilang besok vaksin pake sopan anj ga kaget;1
perintah bukti nyata cepat vaksin skrg vaksin daerah jateng door to door utk ajar sukses usaha perintah sukseskanvaksinasijawatengah indonesiasehatindonesiahebat;1
gw vaksin sampe alhamdulillah aman aja orang virus kau adhibeka layak vaksin tiga otak kau vaksin hahahahahahaha;0
alhamdulillah gilir warga jawa cipta herd imunity vaksin yuk   httpstconruurdui;1
masprasetiyo video ttg graphene dalam vaksin bukti   httpstcohxupyfee;0
abis vaksin bekam beuh ;1
vaksin covid manfaat lindung tubuh jatuh sakit akibat covid timbul kebal spesifik tubuh percepatkekebalankomunal capai herd immunity;1
bilangin vaksinasi covid bikin program fokus vaksin covid sampe program amburadul ga pegang;0
meschach yg sakit vaksin prtmague aja smpe demam;0
jjjsunggf vaksin;1
yg gamau vaksin nyari alas biar ga vaksin ngmg susah dok kalo mo mana pe  httpstcopqunquqi;0
prfmnews infobdg bantu rt min yah;1
done vaksin dosis mana  httpstcouwtzrwufuf;1
naek krl bgt vaksin ya;0
langkah bijak perintah ada program cepat vaksinasi nasional skrg gilir warga jawa  httpstcoylfgxkgv;1
quchul euh ken pis vaksin euy pegat kopid teh;1
bertanyarl anjir lu ntar abis vaksin gejala kek zombi nder;0
abis vaksin cenut dikitt;1
vaksin drama gue;0
sridianava jgn jgn ijab tambah seprangkat alat sholat kartu vaksin;0
bismillah moga niat ikhtiar vaksin cepat hilang corona terima kasih utk usaha perintah yg vaksinasi yg skrg gilir daerah jateng moga sukses sukseskanvaksinasijawatengah indonesiasehatindonesiahebat;1
yohandepok engga sih kemaren mah tepar kayak abis pergi hari jd tidur aja beg  httpstconhhsnwuuy;1
splandemic alvinrio langsung vaksin tempat daerah laku polres polsek yg melakukannnya;1
bmsganyangcovid kulinerpwt sscpurwokerto pwtkotasatria monggo lur vaksin httpstcojgggjzupq;1
ngantuk banget abis vaksin;1
dah vaksin ;1
abg min ngn i vaksin yg for nd dose kekek  kuat jodoh tuu hahha;1
kemaren gua ga vaksin undur suruh nunggu info gua udah ketarketir maleman  ;0
cepat vaksinasi perintah kali sasar jawa untung sambut antusias warga ajar yg bagi dosis vaksin sukseskanvaksinasijawatengah indonesiasehatindonesiahebat;1
warga tanggung cilacap jawa gilir vaksin door to door bukti nyata perintah cepat vaksinasi sukseskanvaksinasijawatengah indonesiasehatindonesiahebat;1
meschach kemarin gue vaksin sakit banget abis vaksin lengan langsung cenat cenut;0
schfess klo pas ptm gada uh gitu ijin vaksin aja nder kmrn kyk temenku ga ptm vaksin ijin;1
bbyoda ya allah gwe bom vaksin   ;0
schfess vaksin sih nder;1
schfess vaksin ptm nya izin;1
vaksin demam ga menggigik ;0
boboiboih barusan abis vaksin ga sakitcuma kaya gigit kingkong aja;1
tp beda sih klo td kasus mas kali vaksin nik pas liat dh vaksin dosis jd kek nik dipake orang vaksin trs tugas klo dh vaksin trs mo vaksin lg ga bs nik nya warna kuning pas cek;0
yuk ragu untul vaksin lagisemoga herd imunity cipta lekas pulih negeri  httpstcorszsbvyk;1
evylagi loh vaksin kena covid;0
hello guys sikit kena nak bebas ni   vaksin peluang jalan hidup bi  httpstcolqizrwvtd;1
lapar lwn antuk judul imbah vaksin ni;1
